Doc-IDs,Reference-Code,Paper-Type,Pub-Date
10.1088/0004-637X/790/2/155,A,P,2014-07-17
10.1088/0004-637X/799/2/150,A,P,2015-01-23
10.1088/0004-637X/800/2/87,A,P,2015-02-12
10.1088/0004-637X/806/1/79,A,P,2015-06-09
10.1088/0004-637X/811/2/112,A,P,2015-09-28
10.1088/0741-3335/56/6/064006,A,P,2014-03-10
10.1088/1748-9326/10/11/114016,A,P,2015-11-01
10.1088/1748-9326/11/3/034002,A,P,2016-02-25
10.1088/2041-8205/778/1/L8,A,P,2013-10-30
10.1088/2041-8205/789/1/L19,A,P,2014-06-18
10.1088/2041-8205/810/1/L10,A,P,2015-08-25
10.1093/biomet/ast046,A,P,2014-02-06
10.1098/rsta.2014.0162,A,P,2015-06-01
10.1103/PhysRevE.89.043002,A,P,2014-04
10.1103/PhysRevE.90.023018,A,P,2014-08
10.1103/PhysRevLett.111.121105,A,P,2013-09-18
10.1109/XSW.2013.11,A,P,2013-08
10.1111/gcb.12948,A,P,2015-06-19
10.1145/2676870.2676876,A,P,2014
10.1175/EI-D-15-0025.1,A,P,2016-03
10.1175/JAS-D-14-0114.1,A,P,2014-11
10.1175/JCLI-D-14-00494.1,A,P,2015-04
10.1175/JCLI-D-14-00596.1,A,P,2015-07
10.1175/JCLI-D-15-0113.1,A,P,2015-10
10.1175/JCLI-D-15-0531.1,A,P,2016-02
10.1175/JPO-D-13-0120.1,A,P,2014-10
10.1175/MWR-D-13-00007.1,A,P,2014-02
10.1175/MWR-D-13-00181.1,A,P,2013-12
10.1175/MWR-D-14-00271.1,A,P,2015-06
10.1175/MWR-D-14-00344.1,A,P,2015-06
10.1175/MWR-D-15-0154.1,A,P,2015-11
10.2514/6.2014-3248,A,P,2014-06-13
10.3390/en8010370,A,P,2015-01-06
10.3847/0004-637X/816/2/102,A,P,2016-01-14
10.5194/acp-15-9253-2015,A,P,2015-08-20
10.5194/angeo-33-1037-2015,A,P,2015-08-20
http://arxiv.org/abs/1511.03613,A,G,NA
http://arxiv.org/pdf/1309.4785v4.pdf,A,G,NA
http://hdl.handle.net/10217/80183,A,G,NA
http://permalink.lanl.gov/object/tr?what=info:lanl-repo/lareport/LA-UR-14-27991,A,G,NA
http://udspace.udel.edu/handle/19716/13411,A,G,NA
http://www.nssl.noaa.gov/users/mansell/icae2014/preprints/Baumgaertner_26.pdf,A,G,NA
http://www.biogeosciences-discuss.net/bg-2014-316/,A,G,NA
